record,detector,rep,runtime_s,duration_s,ms_per_min_ecg,realtime_factor,samples_per_s,n_samples,n_detections,runtime_boundary
111,Embedded Pan-Tompkins firmware replay,7,0.3113345440942794,1805.556,10.345883841684646,0.00017243139736141077,1449851.963305777,451389,2123,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,1,0.3104670138563961,1805.556,10.317055151645125,0.0001719509191940854,1453903.2485067358,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,2,0.31049439311027527,1805.556,10.317964985088535,0.00017196608308480893,1453775.0439818234,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,3,0.30610070400871336,1805.556,10.171959352422634,0.00016953265587371056,1474642.1490985884,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,4,0.30392844905145466,1805.556,10.09977366699636,0.000168329561116606,1485181.7965997006,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,5,0.305497569963336,1805.556,10.151916749079042,0.0001691986124846507,1477553.4877549862,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,6,0.3094491520896554,1805.556,10.283230830491728,0.00017138718050819547,1458685.5286299863,451389,2538,controlled offline execution time of the firmware-equivalent implementation
112,Embedded Pan-Tompkins firmware replay,7,0.31067314581014216,1805.556,10.323905073345014,0.00017206508455575023,1452938.5821967754,451389,2538,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,1,0.3151298491284251,1805.556,10.47200471638958,0.00017453341193982634,1432390.4931520629,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,2,0.3177428529597819,1805.556,10.558836822334456,0.0001759806137055743,1420611.0249067799,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,3,0.31516920193098485,1805.556,10.473312439968126,0.00017455520733280212,1432211.6413482695,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,4,0.31443644617684186,1805.556,10.448962408593536,0.00017414937347655894,1435549.2357464656,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,5,0.31725330906920135,1805.556,10.542568906282652,0.00017570948177137753,1422803.1263861146,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,6,0.31731087202206254,1805.556,10.544481767014567,0.0001757413627835761,1422545.0175202792,451389,1793,controlled offline execution time of the firmware-equivalent implementation
113,Embedded Pan-Tompkins firmware replay,7,0.315290295984596,1805.556,10.477336487528362,0.00017462227479213938,1431661.569508163,451389,1793,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,1,0.31852646893821657,1805.556,10.584876977669479,0.0001764146162944913,1417116.1395304773,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,2,0.3188568130135536,1805.556,10.595854562701582,0.00017659757604502637,1415647.9698014571,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,3,0.3192911189980805,1805.556,10.610286881096366,0.00017683811468493943,1413722.3779240588,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,4,0.31549185886979103,1805.556,10.484034575603006,0.00017473390959338344,1430746.9030010568,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,5,0.31916544609703124,1805.556,10.606110674951026,0.00017676851124918375,1414279.0377839673,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,6,0.31986211286857724,1805.556,10.629261441968366,0.00017715435736613943,1411198.7066922917,451389,1879,controlled offline execution time of the firmware-equivalent implementation
114,Embedded Pan-Tompkins firmware replay,7,0.31827120715752244,1805.556,10.576394434429808,0.00017627324057383013,1418252.70350828,451389,1879,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,1,0.31173807103186846,1805.556,10.359293348925265,0.00017265488914875444,1447975.2136332917,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,2,0.31131604383699596,1805.556,10.345269064055481,0.00017242115106759135,1449938.1221622673,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,3,0.31093082786537707,1805.556,10.332468044149627,0.0001722078007358271,1451734.4680773716,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,4,0.30994087597355247,1805.556,10.299571189380528,0.00017165951982300878,1456371.3114062354,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,5,0.3107728031463921,1805.556,10.327216762472904,0.0001721202793745484,1452472.6598658296,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,6,0.30562389199621975,1805.556,10.156114526369265,0.00016926857543948776,1476942.7777772793,451389,1952,controlled offline execution time of the firmware-equivalent implementation
115,Embedded Pan-Tompkins firmware replay,7,0.31088435696437955,1805.556,10.330923780742758,0.0001721820630123793,1451951.4729128657,451389,1952,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,1,0.30740871699526906,1805.556,10.215425619430327,0.00017025709365717213,1468367.6000213968,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,2,0.3096501799300313,1805.556,10.289911138619836,0.00017149851897699727,1457738.5361183903,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,3,0.3118557338602841,1805.556,10.363203374260918,0.00017272005623768195,1447428.8941636996,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,4,0.30803710501641035,1805.556,10.236307431608115,0.00017060512386013525,1465372.1666938558,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,5,0.31062743393704295,1805.556,10.322386033012865,0.0001720397672168811,1453152.396357516,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,6,0.31260874308645725,1805.556,10.388226443924992,0.00017313710739874988,1443942.340010499,451389,2387,controlled offline execution time of the firmware-equivalent implementation
116,Embedded Pan-Tompkins firmware replay,7,0.3133426560088992,1805.556,10.412614928882821,0.00017354358214804704,1440560.3301810913,451389,2387,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,1,0.32050228607840836,1805.556,10.650534884935444,0.00017750891474892406,1408379.9698376292,451389,1535,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,2,0.31917616399005055,1805.556,10.606466838692919,0.00017677444731154865,1414231.5464824962,451389,1535,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,3,0.3170401768293232,1805.556,10.53548635974702,0.00017559143932911698,1423759.6146781193,451389,1535,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,4,0.31283915694803,1805.556,10.39588327190173,0.00017326472119836217,1442878.840371592,451389,1535,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,5,0.31817510491237044,1805.556,10.573200883684708,0.00017622001472807847,1418681.0753918614,451389,1535,controlled offline execution time of the firmware-equivalent implementation
