record,detector,channel,reference_beat_count,detected_count,TP,FP,FN,sensitivity,ppv,f1,fp_per_hour,fn_per_hour,median_timing_error_ms,iqr_timing_error_ms,p95_timing_error_ms
200,Hamilton,MLII,2601,2595,2594,1,7,0.9973087274125336,0.9996146435452794,0.9984603541185527,1.9938461538461538,13.956923076923077,64.8888888890724,29.999999999972715,77.99999999997453
201,Hamilton,MLII,1963,1893,1893,0,70,0.9643402954661233,1.0,0.9818464730290457,0.0,139.56923076923076,64.00000000007822,4.1111111110865295,69.88888888895417
202,Hamilton,MLII,2136,2123,2121,2,15,0.9929775280898876,0.999057936881771,0.9960084526884245,3.9876923076923076,29.907692307692308,65.88888888882138,33.444444444512555,79.22222222236996
203,Hamilton,MLII,2980,2914,2906,8,74,0.9751677852348993,0.997254632807138,0.986087546657618,15.95076923076923,147.54461538461538,35.22222222227356,7.333333333349401,79.55555555554383
205,Hamilton,MLII,2656,2645,2644,1,12,0.9954819277108434,0.9996219281663516,0.9975476325221657,1.9938461538461538,23.926153846153845,61.1111111111029,3.444444444518524,64.11111111128776
207,Hamilton,MLII,1860,2013,1830,183,30,0.9838709677419355,0.9090909090909091,0.9450038729666924,364.87384615384616,59.815384615384616,36.88888888893871,2.888888888890051,62.19444444444517
208,Hamilton,MLII,2955,2132,2129,3,826,0.7204737732656514,0.9985928705440901,0.837035580892471,5.981538461538461,1646.916923076923,61.88888888888755,21.44444444448368,96.40000000003964
209,Hamilton,MLII,3005,3006,3004,2,1,0.9996672212978369,0.9993346640053227,0.9995009149891866,3.9876923076923076,1.9938461538461538,63.00000000010186,2.5555555556024956,65.77777777783922
210,Hamilton,MLII,2650,2560,2558,2,92,0.9652830188679246,0.99921875,0.9819577735124759,3.9876923076923076,183.43384615384616,64.44444444434794,4.4444444445161935,79.44444444446503
212,Hamilton,MLII,2748,2749,2747,2,1,0.9996360989810772,0.9992724627137141,0.9994542477715117,3.9876923076923076,1.9938461538461538,64.44444444446162,4.222222222097116,97.66666666666879
213,Hamilton,MLII,3251,3235,3235,0,16,0.9950784374038757,1.0,0.9975331483194573,0.0,31.90153846153846,62.111111111107675,3.1111111110249112,65.11111111105379
214,Hamilton,MLII,2262,2257,2255,2,7,0.9969053934571176,0.999113867966327,0.998008408940031,3.9876923076923076,13.956923076923077,35.11111111106402,29.999999999972715,77.4444444444403
215,Hamilton,MLII,3363,3360,3360,0,3,0.9991079393398751,1.0,0.9995537706381079,0.0,5.981538461538461,63.333333333503106,2.5555555555172305,66.22222222222263
217,Hamilton,MLII,2208,2203,2200,3,8,0.9963768115942029,0.9986382206082615,0.9975062344139651,5.981538461538461,15.95076923076923,37.388888888926886,17.02777777776099,67.22777777775374
219,Hamilton,MLII,2154,2135,2134,1,20,0.9907149489322191,0.9995316159250586,0.9951037537887619,1.9938461538461538,39.87692307692308,61.666666666667425,2.527777777714846,64.22222222226992
220,Hamilton,MLII,2048,2048,2046,2,2,0.9990234375,0.9990234375,0.9990234375,3.9876923076923076,3.9876923076923076,64.11111111111722,2.4444444444498004,66.55555555556347
221,Hamilton,MLII,2427,2409,2408,1,19,0.992171405026782,0.9995848899958489,0.9958643507030605,1.9938461538461538,37.88307692307692,63.88888888886868,3.2222222223481367,73.07222222223119
222,Hamilton,MLII,2483,2489,2481,8,2,0.9991945227547322,0.9967858577742065,0.99798873692679,15.95076923076923,3.9876923076923076,33.77777777780011,34.22222222209825,84.00000000006003
223,Hamilton,MLII,2605,2592,2591,1,14,0.9946257197696737,0.9996141975308642,0.9971137194535309,1.9938461538461538,27.913846153846155,70.44444444431974,15.49999999998164,81.33333333330484
228,Hamilton,MLII,2053,2058,2047,11,6,0.9970774476376035,0.9946550048590865,0.9958647531014352,21.932307692307692,11.963076923076922,33.44444444439887,4.222222222182381,65.55555555564752
230,Hamilton,MLII,2256,2256,2254,2,2,0.999113475177305,0.999113475177305,0.999113475177305,3.9876923076923076,3.9876923076923076,64.55555555555748,3.3333333333303017,69.11111111113257
231,Hamilton,MLII,1571,1610,1566,44,5,0.9968173138128581,0.9726708074534162,0.9845960389814524,87.72923076923077,9.96923076923077,64.33333333325209,5.194444444327928,111.3333333333344
232,Hamilton,MLII,1780,1785,1780,5,0,1.0,0.9971988795518207,0.9985974754558204,9.96923076923077,0.0,66.11111111124046,3.2222222223481367,69.11111111116952
233,Hamilton,MLII,3079,3062,3062,0,17,0.9944787268593699,1.0,0.9972317212180426,0.0,33.895384615384614,65.88888888882138,43.08333333324299,82.00000000010732
234,Hamilton,MLII,2753,2750,2750,0,3,0.9989102796948783,1.0,0.9994548428130111,0.0,5.981538461538461,61.77777777782012,3.6666666665041703,88.22222222222304
